Image,Brand,Polish,Color,Finishes/Types,Link,Coats,Rating,Notes
,Models Own,Indian Ocean,Teal,"Glass Fleck, Duochrome, Topper",https://www.sparklyvernis.com/2012/05/models-own-indian-ocean-new-kind-of-duo.html,,,
,Models Own,Peacock Green,Green,Shimmer,http://canvasnails.blogspot.com/2012/08/models-own-peacock-green.html,,,
,Models Own,Pink Cocktail,Pink,"Shifty, Jelly, Shimmer, Iridescent, Mini",http://www.thecolourcarousel.co.uk/2012/11/nail-of-day-models-own-pink-cocktail.html,,,
,Mooncat,A Very Merry Unbirthday,Purple,"Shifty Shimmer, Multichrome Flakie",https://www.mooncat.com/products/a-very-merry-unbirthday,,,
,Mooncat,Kelp Kingdom,Green,"Magnetic, Multichrome Reflective Glitter",https://www.mooncat.com/products/kelp-kingdom,,,
,Mooncat,Mad Hatter,Multi,"Magnetic, Holo Glitter, Multichrome Flakie",https://www.mooncat.com/products/mad-hatter,,,
,Mooncat,Mood Ring,Purple,"Jelly, Iridescent Flakie",https://www.mooncat.com/products/mood-ring,,,
,Mooncat,Velociraptor,Teal,"Matte, Iridescent Flakie, Reflective Glitter",w.mooncat.com/products/velociraptor,3,A,"even though I felt like I needed 3 coats and 2 top coats, this polish helped up super well and is gorgeous. It's matte but I prefer glossy"
,Mooncat,Weeping Willow,Green,"Magnetic, Reflective Glitter",https://www.mooncat.com/products/weeping-willow,,,
,Morgan Taylor,Fame Game,Silver,Holo Glitter,https://curbappealnails.blogspot.com/2014/07/morgan-taylor-fame-game.html,,,
,Morgan Taylor,Well Spent,Purple,Creme,https://mariasnailpolishblog.blogspot.com/2015/02/morgan-taylor-well-spent-swatches.html,,,
,Mundo de Unas,Bones,Beige,"Stamping, Creme, Mini",http://phdnails.blogspot.com/2015/07/mundo-de-unas-stamping-polish-review.html,,,
